5323/174/7694/:Frankie & Benny's, Hereford 
5260/264/7585/:Frankie & Benny's, High Wycombe Crest Road 
5939/287/7586/:Frankie & Benny's, High Wycombe Eden 
5340/550/7669/:Frankie & Benny's, Hull KINGSWOOD 
5529/544/7668/:Frankie & Benny's, Hull ST ANDREW'S QUAY 
5980/314/7536/:Frankie & Benny's, Huntingdon 
5329/335/7537/:Frankie & Benny's, Ipswich 
5238/387/7538/:Frankie & Benny's, Ipswich - Nacton Way 
5172/792/7750/:Frankie & Benny's, Irvine 
5710/350/7539/:Frankie & Benny's, Kettering 
5239/293/7728/:Frankie & Benny's, Kidderminster 
5479/378/7540/:Frankie & Benny's, Kings Lynn 
5800/474/7587/:Frankie & Benny's, Kingston Upon Thames 
5206/547/7666/:Frankie & Benny's, LEEDS Crown Point 
5249/99/7611/:Frankie & Benny's, Lakeside Thurrock  
5380/273/7637/:Frankie & Benny's, Leamington Spa 
5256/631/7665/:Frankie & Benny's, Leeds - The Light 
5244/652/7778/:Frankie & Benny's, Leeds - White Rose 
5580/589/7792/:Frankie & Benny's, Leeds CENTRE 27 
5810/556/7667/:Frankie & Benny's, Leeds KIRKSTALL RD 
5510/27/7636/:Frankie & Benny's, Leicester 
5202/685/7800/:Frankie & Benny's, Leigh 
5201/577/7650/:Frankie & Benny's, Lichfield 
5480/338/7787/:Frankie & Benny's, Lincoln 
1944/1213/7828/:Frankie & Benny's, Liverpool John Lennon Airport 
5519/643/7794/:Frankie & Benny's, Liverpool Stonedale Retail Park 
5349/780/7748/:Frankie & Benny's, Livingston 
5989/169/7693/:Frankie & Benny's, Llanelli 
5318/188/7692/:Frankie & Benny's, Llantrisant 
5750/423/7768/:Frankie & Benny's, Maidstone 
1929/1277/7826/:Frankie & Benny's, Manchester Airport  
5650/640/7799/:Frankie & Benny's, Manchester St Ann's Street 
5267/447/7786/:Frankie & Benny's, Mansfield 
5460/450/7727/:Frankie & Benny's, Merry Hill 
5161/172/7691/:Frankie & Benny's, Merthyr Tydfil 
5186/613/7681/:Frankie & Benny's, Metrocentre Gateshead 
5699/592/7680/:Frankie & Benny's, Middlesbrough 
5225/317/7634/:Frankie & Benny's, Milton Keynes 
5160/276/7633/:Frankie & Benny's, Milton Keynes 
5168/744/7713/:Frankie & Benny's, Morecambe 
5360/616/7679/:Frankie & Benny's, Newcastle John Dobson Street 
5789/213/7689/:Frankie & Benny's, Newport 
5175/231/7700/:Frankie & Benny's, Newport Rd, Cardiff 
5301/390/7631/:Frankie & Benny's, Northampton 
5220/341/7632/:Frankie & Benny's, Northampton 
5970/619/7678/:Frankie & Benny's, Northshields 
5410/393/7541/:Frankie & Benny's, Norwich 
5620/432/7784/:Frankie & Benny's, Nottingham City Centre 
5231/344/7789/:Frankie & Benny's, Nottingham Ikea Giltbrook 
5176/483/7783/:Frankie & Benny's, Nottingham Netherfield 
5270/385/7788/:Frankie & Benny's, Nottingham Showcase Cinema 
5960/453/7726/:Frankie & Benny's, Nuneaton  
5469/356/7767/:Frankie & Benny's, Orpington 
5389/320/7630/:Frankie & Benny's, Oxford 
5171/769/7747/:Frankie & Benny's, Paisley 
5181/763/7597/:Frankie & Benny's, Perth 
5210/282/7542/:Frankie & Benny's, Peterborough Boongate 
5183/359/7543/:Frankie & Benny's, Peterborough Hampton 
5669/122/7811/:Frankie & Benny's, Plymouth 
5860/234/7766/:Frankie & Benny's, Poole 
5259/210/7765/:Frankie & Benny's, Portsmouth 
5610/747/7712/:Frankie & Benny's, Preston 
5333/43/7711/:Frankie & Benny's, Preston Deepdale 
5739/565/7810/:Frankie & Benny's, Reading 
5649/750/7710/:Frankie & Benny's, Rochdale 
5820/480/7764/:Frankie & Benny's, Rochester 
5300/2/7614/:Frankie & Benny's, Romford 
5311/598/7782/:Frankie & Benny's, Rotherham 
5930/456/7725/:Frankie & Benny's, Rugby 
5520/704/7796/:Frankie & Benny's, Salford 
5619/622/7664/:Frankie & Benny's, Scunthorpe  
5331/670/7663/:Frankie & Benny's, Selby 
5399/305/7724/:Frankie & Benny's, Selly Oak 
5182/559/7785/:Frankie & Benny's, Sheffield Meadowhall 
5790/7/7781/:Frankie & Benny's, Sheffield Valley Centertainment 
5268/568/7649/:Frankie & Benny's, Shrewsbury 
5869/738/7746/:Frankie & Benny's, Silverburn 
5326/1317/7588/:Frankie & Benny's, South Ruislip  
5590/89/7613/:Frankie & Benny's, Southend on Sea 
5379/826/7709/:Frankie & Benny's, Southport  
5166/405/7544/:Frankie & Benny's, Spalding 
5281/500/7648/:Frankie & Benny's, Sprucefield NI 
5291/128/7809/:Frankie & Benny's, St Austell 
5629/832/7708/:Frankie & Benny's, St Helens  
5207/365/7545/:Frankie & Benny's, St Neots 
5376/49/7723/:Frankie & Benny's, Stafford Waterfront 
5173/429/7589/:Frankie & Benny's, Staines 
5830/296/7612/:Frankie & Benny's, Stevenage  
5819/772/7745/:Frankie & Benny's, Stirling  
5679/706/7795/:Frankie & Benny's, Stockport  
5500/595/7677/:Frankie & Benny's, Stockton on Teesside  
5351/520/7646/:Frankie & Benny's, Stoke Potteries 
5779/514/7647/:Frankie & Benny's, Stoke on Trent  
5194/802/7595/:Frankie & Benny's, Straiton 
5299/673/7676/:Frankie & Benny's, Sunderland 
5769/435/7590/:Frankie & Benny's, Surrey Quays 
5346/459/7722/:Frankie & Benny's, Sutton Coldfield 
5459/495/7779/:Frankie & Benny's, Sutton in Ashfield  
5449/149/7690/:Frankie & Benny's, Swansea Morfa Shopping Park  
5339/182/7688/:Frankie & Benny's, Swansea Wind Street  
5880/216/7738/:Frankie & Benny's, Swindon  
5600/497/7721/:Frankie & Benny's, Tamworth 
5254/571/7808/:Frankie & Benny's, Taplow 
5289/462/7720/:Frankie & Benny's, Telford  
5849/408/7762/:Frankie & Benny's, Thanet  
5809/117/7615/:Frankie & Benny's, The O2 
5179/646/7793/:Frankie & Benny's, Trafford Centre 
5969/580/7645/:Frankie & Benny's, Trentham Gardens  
5275/246/7737/:Frankie & Benny's, Trowbridge 
5870/374/7761/:Frankie & Benny's, Tunbridge Wells  
5709/523/7644/:Frankie & Benny's, Uttoxeter  
5285/299/7591/:Frankie & Benny's, Uxbridge 
5263/858/7521/:Frankie & Benny's, Victoria Place 
5509/601/7662/:Frankie & Benny's, Wakefield  
5193/489/7719/:Frankie & Benny's, Walsall 
5355/529/7592/:Frankie & Benny's, Wandsworth 
5215/717/7706/:Frankie & Benny's, Warrington - BURTONWOOD 
5188/679/7675/:Frankie & Benny's, Washington 
5540/279/7629/:Frankie & Benny's, Watford  
5198/302/7593/:Frankie & Benny's, Wembley 
5271/131/7736/:Frankie & Benny's, Weston-super-Mare 
5321/720/7705/:Frankie & Benny's, Widnes 
5720/799/7704/:Frankie & Benny's, Wigan 
5314/414/7546/:Frankie & Benny's, Wisbech 
5829/291/7628/:Frankie & Benny's, Witney 
5251/649/7651/:Frankie & Benny's, Wrexham Eagles Meadow  
5539/723/7643/:Frankie & Benny's, Wrexham Retail Park 
5450/135/7807/:Frankie & Benny's, Yeovil  
5230/682/7661/:Frankie & Benny's, York Clifton Moor 
5362/207/7699/:Frankie & Bennys, Cardiff St Davids 
5373/47/7754/:Frankie & Bennys, East Kilbride South 
5334/855/7780/:Frankie & Bennys, Sheffield Drake House 
5282/711/7660/:Frankie & Bennys, York MONK'S CROSS 
5377/1357/8027/:Frankie & Benny’s, Edge Lane 
5235/92/7618/:Frankie & Benny’s, Harlow 
5327/1367/8051/:Frankie & Benny’s, Highpoint St. Helens 
5345/81/7601/:Frankie & Benny’s, Inverness 
5258/791/7600/:Frankie & Benny’s, Kirkcaldy 
5265/353/7635/:Frankie & Benny’s, Leicester Highcross Shopping Centre 
1949/1249/7827/:Frankie & Benny’s, Luton Airport 
5366/637/7797/:Frankie & Benny’s, Manchester Printworks 
5276/154/7812/:Frankie & Benny’s, Newquay 
5234/691/7798/:Frankie & Benny’s, Oldham 
5248/243/7770/:Frankie & Benny’s, Whiteley, Fareham 
5336/249/7735/:Frankie & Benny’s, Yate 
5165/541/7670/:Frankie and Benny's, Halifax 
5241/784/7749/:Frankie and Benny's, Kilmarnock 
5185/477/7733/:Frankie and Benny's, The Fort Shopping Centre 
3808/444/7594/:Little Frankie's,  London Whitehall 
3801/562/7819/:Little Frankie's, Basingstoke 
